0,84
1,82
2,86
3,94
5,04
6,21
7,48
8,81
10,21
11,69
13,15
14,66
16,24
17,87
19,56
21,23
22,97
24,76
26,61
28,54
30,39
32,3
34,27
36,31
38,43
40,46
42,55
44,71
46,92
49,23
