1,1905;1,2656;1,2729;1,2672;1,2594;1,2546;1,2504;1,2407;1,2317;1,2226;1,211;1,1884;1,1427;1,1323;1,1218
1,1898;1,2268;1,2219;1,2187;1,2155;1,2088;1,2028;1,1954;1,1879;1,1801;1,1638;1,1343;1,101;1,086;1,0761
1,1687;1,1843;1,1812;1,1651;1,1597;1,152;1,1454;1,1361;1,1283;1,1207;1,1047;1,0737;1,0409;1,0243;1,0092
1,1494;1,1556;1,1374;1,1208;1,1056;1,0976;1,0902;1,0819;1,0727;1,0622;1,0417;1,0093;0,9769;0,9585;0,9388
1,1208;1,1234;1,1023;1,0791;1,0575;1,0476;1,0387;1,0287;1,0194;1,0085;0,9855;0,9531;0,9212;0,8986;0,8768
1,0949;1,0971;1,0706;1,0459;1,0228;1,0123;1,0027;0,9912;0,9798;0,9669;0,9448;0,9121;0,8804;0,858;0,8345
1,0691;1,0692;1,0464;1,0136;0,9887;0,9748;0,9629;0,9495;0,9378;0,9278;0,9061;0,8728;0,8396;0,8163;0,7938
1,0446;1,0463;1,0231;0,9915;0,9652;0,9503;0,9376;0,9242;0,9116;0,8996;0,8781;0,8442;0,8094;0,7865;0,7651
1,0235;1,0248;0,9949;0,9691;0,9427;0,928;0,9137;0,9;0,8866;0,8734;0,8508;0,817;0,7817;0,7596;0,738
1,0035;1,0044;0,9759;0,9486;0,9216;0,9067;0,8896;0,8748;0,8595;0,8443;0,8203;0,7855;0,7498;0,7277;0,7085
0,9722;0,9712;0,9437;0,9179;0,8921;0,8754;0,8578;0,8395;0,8223;0,8058;0,7811;0,7445;0,7114;0,6894;0,6702
0,9215;0,9176;0,8928;0,8706;0,8448;0,8256;0,8048;0,7852;0,7667;0,7507;0,724;0,6846;0,6577;0,6352;0,6141
0,8518;0,8544;0,8288;0,8036;0,7774;0,7582;0,7395;0,7206;0,7027;0,6842;0,6571;0,6167;0,5903;0,5702;0,5491
0,8046;0,8015;0,7805;0,7511;0,7246;0,7045;0,683;0,664;0,6451;0,6291;0,6031;0,5643;0,5334;0,5138;0,4961
0,7702;0,7705;0,7447;0,717;0,6874;0,6662;0,644;0,6222;0,6002;0,5838;0,5566;0,5162;0,4856;0,4683;0,4519
